Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  16:15:00,-1.1,125.90066255561666,1.0,17.762198626050539,1.0,17.762198626050539,125.90066255561666,7.569230215352508,-0.5830186017980189,5.941140909842602,-0.4039024232973816,7.917029546130337 
 01/01  16:30:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,7.378497367529977,-2.4192879452117679,5.5987417028565009,-0.6834068081367377,7.810843290411283 
 01/01  16:45:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,7.320774180791962,-2.5542093098023259,5.511326998438108,-0.6759785729216219,7.70764697221969 
 01/01  17:00:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,7.247602691289866,-2.743455101800362,5.464930340970795,-0.6522710749135285,7.6208031099320518 
 01/01  17:15:00,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,7.185905881669709,-2.8915185373697285,5.374402013160648,-0.7924012505167184,7.550955635919 
 01/01  17:30:00,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,7.129555812810177,-3.043949197518762,5.2978561244973438,-0.9236962877432688,7.492858221389101 
 01/01  17:45:00,-1.5499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,7.077425451793804,-3.195942305412365,5.225660208852105,-1.0541976582563848,7.441159313915297 
 01/01  18:00:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,7.027305719461267,-3.348103867738979,5.156331893632114,-1.1839812724413719,7.392500762352186 
 01/01  18:15:00,-1.825,0.0,0.0,0.0,0.0,0.0,0.0,7.0018262559555659,-3.2035020859295879,5.079906343635116,-1.337243039557734,7.348703796983432 
 01/01  18:30:00,-1.9500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,6.9752054647050969,-3.1399059579617805,5.0163805073839289,-1.4821843825009183,7.311549261619196 
 01/01  18:45:00,-2.075,0.0,0.0,0.0,0.0,0.0,0.0,6.94420889412252,-3.214572800298521,4.965867979246525,-1.5977119907397537,7.279632444647382 
 01/01  19:00:00,-2.2,0.0,0.0,0.0,0.0,0.0,0.0,6.916071638166995,-3.1951517070050658,4.9068573065499099,-1.737421382064099,7.249910510756422 
 01/01  19:15:00,-1.9250000000000003,0.0,0.0,0.0,0.0,0.0,0.0,6.903698915855768,-2.894676010919427,4.946098142788742,-1.5317601384438718,7.222873133923806 
 01/01  19:30:00,-1.6500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,6.8918098596268069,-2.5971218834213136,4.983966110119582,-1.314555969643834,7.199065310133148 
 01/01  19:45:00,-1.375,0.0,0.0,0.0,0.0,0.0,0.0,6.881702280472193,-2.300821913741623,5.023470895121932,-1.0950231381751792,7.178115168873181 
 01/01  20:00:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,6.874164137609842,-2.0057580611030367,5.065040462289403,-0.8732159972605587,7.159440113164904 
 01/01  20:15:00,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,6.824134737911597,-2.284037232008743,5.0238756896935119,-0.954584197086092,7.136175695161787 
 01/01  20:30:00,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,6.775941304988207,-2.4990223554134145,4.969008192260503,-1.0548737842115657,7.103627001070605 
 01/01  20:45:00,-1.5499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,6.714426168529567,-2.8395167378226047,4.919259422658001,-1.1299682086698795,7.061029642611185 
 01/01  21:00:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,6.647629564616227,-3.287018880579609,4.8701517152263709,-1.1778314563556478,7.010689288013735 
 01/01  21:15:00,-1.5499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,6.648305045530125,-2.804673773450469,4.838316053978019,-1.1450439466485705,6.966065747244647 
 01/01  21:30:00,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,6.638993249241865,-2.478080540059012,4.840983369376545,-1.075874837103413,6.934372601110149 
 01/01  21:45:00,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,6.628734720963621,-2.259570062649134,4.852880648511814,-0.9789340200400147,6.91329339038426 
 01/01  22:00:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,6.6224369177832049,-1.9798865206599544,4.8638961925705079,-0.8883869613260913,6.897542471712566 
 01/01  22:15:00,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,6.571937393958295,-2.2832170251656169,4.7724727861759679,-1.1642605116828123,6.876556698529706 
 01/01  22:30:00,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,6.5245438332640239,-2.587828781456516,4.668978616047639,-1.456801912877495,6.845287006021835 
 01/01  22:45:00,-1.5499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,6.472352689652498,-2.8931214159084015,4.563705685475384,-1.7513431392226267,6.804995751471345 
 01/01  23:00:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,6.416260659451148,-3.1987542633099417,4.454426435581524,-2.047313591301304,6.758724751009553 
 01/01  23:15:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,6.37615712834141,-3.2528607982077055,4.403456225743469,-2.1110609561981734,6.712071822115752 
 01/01  23:30:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,6.33395332056858,-3.307566078297014,4.356499544481437,-2.172913461274561,6.667986315777301 
 01/01  23:45:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,6.292841433035154,-3.3621635743058508,4.3094005269924768,-2.234732560545865,6.626422169485854 
 01/01  24:00:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,6.252546381798127,-3.416763940105549,4.263221988509997,-2.2962415688564308,6.5863459296058119 
